Move,TimeUsed,TotalTime,Eval
495,7.25,"(338.1, 138.0)",[]
496,7.25,"(338.1, 138.0)",[]
497,7.25,"(338.1, 138.0)",[]
498,7.27,"(359.5, 138.0)",['h4f5']
499,7.27,"(359.5, 138.0)",[]
500,7.27,"(359.5, 138.0)",[]
501,7.85,"(359.5, 140.9)",['e8g8']
502,7.85,"(359.5, 140.9)",[]
503,7.85,"(359.5, 140.9)",[]
504,7.85,"(359.5, 140.9)",[]
505,7.85,"(359.5, 140.9)",[]
506,7.85,"(359.5, 140.9)",[]
507,7.85,"(359.5, 140.9)",[]
508,7.85,"(359.5, 140.9)",[]
509,7.85,"(359.5, 140.9)",[]
510,7.85,"(359.5, 140.9)",[]
511,7.85,"(359.5, 140.9)",[]
512,7.85,"(359.5, 140.9)",[]
513,7.85,"(359.5, 140.9)",[]
514,7.85,"(359.5, 140.9)",[]
515,7.85,"(359.5, 140.9)",[]
516,7.85,"(359.5, 140.9)",[]
517,7.85,"(359.5, 140.9)",[]
518,7.85,"(359.5, 140.9)",[]
519,7.85,"(359.5, 140.9)",[]
520,7.85,"(359.5, 140.9)",[]
521,7.85,"(359.5, 140.9)",[]
522,7.85,"(359.5, 140.9)",[]
523,7.85,"(359.5, 140.9)",[]
524,2.39,"(382.3, 140.9)",['f5h6']
525,2.39,"(382.3, 140.9)",[]
526,2.39,"(382.3, 140.9)",[]
527,2.39,"(382.3, 140.9)",[]
528,11.44,"(382.3, 145.3)",['g8g4']
529,11.44,"(382.3, 145.3)",[]
530,11.65,"(383.9, 145.3)",['h6g4']
531,11.65,"(383.9, 145.3)",[]
532,11.65,"(383.9, 145.3)",[]
533,11.65,"(383.9, 145.3)",[]
534,11.65,"(383.9, 145.3)",[]
535,11.65,"(383.9, 145.3)",[]
536,15.85,"(383.9, 151.3)",['d7b6']
537,15.85,"(383.9, 151.3)",[]
538,15.85,"(383.9, 151.3)",[]
539,15.85,"(383.9, 151.3)",[]
540,15.85,"(383.9, 151.3)",[]
541,15.85,"(383.9, 151.3)",[]
542,15.85,"(383.9, 151.3)",[]
543,15.85,"(383.9, 151.3)",[]
544,15.85,"(383.9, 151.3)",[]
545,10.18,"(392.9, 151.3)",['c4e6']
546,10.18,"(392.9, 151.3)",[]
547,10.18,"(392.9, 151.3)",[]
548,10.18,"(392.9, 151.3)",[]
549,#+2,"(392.9, 155.5)",['d8d7']
550,#+2,"(392.9, 155.5)",[]
551,#+2,"(392.9, 155.5)",[]
552,#+2,"(392.9, 155.5)",[]
553,#+2,"(392.9, 155.5)",[]
554,#+2,"(392.9, 155.5)",[]
