Time,Eval,TimeUsed,Moves,Board
122,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
123,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
124,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
125,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
126,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
127,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
128,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
129,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
130,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
131,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
132,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
133,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
134,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
135,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
136,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
137,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
138,9.86,"(86.9, 50.6)",['g5f6'],rnb1qrk1/ppp2ppp/3p1B2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R b KQ - 0 10
139,9.86,"(86.9, 50.6)",[],rnb1qrk1/ppp2ppp/3p1B2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R b KQ - 0 10
140,9.86,"(86.9, 50.6)",[],rnb1qrk1/ppp2ppp/3p1B2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R b KQ - 0 10
141,10.15,"(86.9, 53.9)",['g7f6'],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
142,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
143,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
144,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
145,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
146,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
147,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
148,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
149,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
150,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
151,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
152,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
153,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
154,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
155,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
156,10.15,"(86.9, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 0 11
157,9.34,"(103.0, 53.9)",['f3h4'],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
158,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
159,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
160,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
161,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
162,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
163,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
164,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
165,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
166,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
167,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
168,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
169,9.34,"(103.0, 53.9)",[],rnb1qrk1/ppp2p1p/3p1p2/8/2B1P2N/2N5/PPP2PPP/R2QK2R b KQ - 1 11
