MoveS,MovePGN,Player,TimeUsed,Time,Evaluation,HRDelta,TPM,Board,Game,DeltaPos,maxi,mini
Bc4,['f1c4'],w,19.2,25,0.09,7.0,8.1,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,Game0816-6,0.31999999999999995,0,-4
c6,['c7c6'],b,35.4,55,0.86,-4.0,30.0,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 4,Game0816-6,0.77,2,-1
Nf3,['g1f3'],w,50.2,86,0.01,5.0,31.000000000000004,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,Game0816-6,0.85,0,-3
d5,['d7d5'],b,41.0,92,0.41,-4.0,5.600000000000001,rnbqkb1r/pp3ppp/2p2n2/3pp3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,Game0816-6,0.39999999999999997,0,-4
exd5,['e4d5'],w,71.8,113,0.0,-4.0,21.599999999999994,rnbqkb1r/pp3ppp/2p2n2/3Pp3/2B5/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 5,Game0816-6,0.41,0,-2
cxd5,['c6d5'],b,42.2,114,1.01,-1.0,1.2000000000000028,rnbqkb1r/pp3ppp/5n2/3pp3/2B5/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 6,Game0816-6,1.01,4,0
Bb5+,['c4b5'],w,85.1,128,0.71,-7.0,13.299999999999997,rnbqkb1r/pp3ppp/5n2/1B1pp3/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,Game0816-6,0.30000000000000004,2,0
Bd7,['c8d7'],b,51.6,137,0.79,-3.0,9.399999999999999,rn1qkb1r/pp1b1ppp/5n2/1B1pp3/8/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 7,Game0816-6,0.08000000000000007,3,0
Nxe5,['f3e5'],w,89.7,142,0.83,-7.0,4.6000000000000085,rn1qkb1r/pp1b1ppp/5n2/1B1pN3/8/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 7,Game0816-6,0.039999999999999925,1,0
Bxb5,['d7b5'],b,59.0,149,1.21,-5.0,7.399999999999999,rn1qkb1r/pp3ppp/5n2/1b1pN3/8/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 8,Game0816-6,0.38,1,-1
Nxb5,['c3b5'],w,95.4,155,1.11,-9.0,5.700000000000003,rn1qkb1r/pp3ppp/5n2/1N1pN3/8/8/PPPP1PPP/R1BQK2R b KQkq - 0 8,Game0816-6,0.09999999999999987,1,-1
Qe7,['d8e7'],b,60.9,157,1.81,-4.0,1.8999999999999986,rn2kb1r/pp2qppp/5n2/1N1pN3/8/8/PPPP1PPP/R1BQK2R w KQkq - 1 9,Game0816-6,0.7,0,-2
Qe2,['d1e2'],w,120.9,182,2.37,-2.0,25.5,rn2kb1r/pp2qppp/5n2/1N1pN3/8/8/PPPPQPPP/R1B1K2R b KQkq - 2 9,Game0816-6,0.56,0,-2
Nc6,['b8c6'],b,154.5,276,5.21,1.0,93.6,r3kb1r/pp2qppp/2n2n2/1N1pN3/8/8/PPPPQPPP/R1B1K2R w KQkq - 3 10,Game0816-6,2.84,4,0
d4,['d2d4'],w,131.6,287,1.7,-10.0,10.699999999999989,r3kb1r/pp2qppp/2n2n2/1N1pN3/3P4/8/PPP1QPPP/R1B1K2R b KQkq - 0 10,Game0816-6,3.51,0,-6
a6,['a7a6'],b,159.3,291,1.77,-3.0,4.800000000000011,r3kb1r/1p2qppp/p1n2n2/1N1pN3/3P4/8/PPP1QPPP/R1B1K2R w KQkq - 0 11,Game0816-6,0.07000000000000006,1,0
Nxc6,['e5c6'],w,220.1,380,1.81,-10.0,88.5,r3kb1r/1p2qppp/p1N2n2/1N1p4/3P4/8/PPP1QPPP/R1B1K2R b KQkq - 0 11,Game0816-6,0.040000000000000036,1,0
Qxe2+,['e7e2'],b,213.4,434,1.88,-1.0,54.099999999999994,r3kb1r/1p3ppp/p1N2n2/1N1p4/3P4/8/PPP1qPPP/R1B1K2R w KQkq - 0 12,Game0816-6,0.06999999999999984,1,-1
Kxe2,['e1e2'],w,222.1,436,1.93,-3.0,2.0,r3kb1r/1p3ppp/p1N2n2/1N1p4/3P4/8/PPP1KPPP/R1B4R b kq - 0 12,Game0816-6,0.050000000000000044,0,-4
axb5,['a6b5'],b,214.8,437,1.72,-2.0,1.4000000000000057,r3kb1r/1p3ppp/2N2n2/1p1p4/3P4/8/PPP1KPPP/R1B4R w kq - 0 13,Game0816-6,0.20999999999999996,0,-2
Ne5,['c6e5'],w,235.8,451,1.61,9.0,13.700000000000017,r3kb1r/1p3ppp/5n2/1p1pN3/3P4/8/PPP1KPPP/R1B4R b kq - 1 13,Game0816-6,0.10999999999999988,0,-5
Bd6,['f8d6'],b,226.4,463,2.25,1.0,11.599999999999994,r3k2r/1p3ppp/3b1n2/1p1pN3/3P4/8/PPP1KPPP/R1B4R w kq - 2 14,Game0816-6,0.6399999999999999,0,-4
Re1,['h1e1'],w,242.2,469,1.77,6.0,6.399999999999977,r3k2r/1p3ppp/3b1n2/1p1pN3/3P4/8/PPP1KPPP/R1B1R3 b kq - 3 14,Game0816-6,0.48,3,0
O-O,['e8g8'],b,229.4,472,1.74,6.0,3.0,r4rk1/1p3ppp/3b1n2/1p1pN3/3P4/8/PPP1KPPP/R1B1R3 w - - 4 15,Game0816-6,0.030000000000000027,1,-1
Kf1,['e2f1'],w,244.4,474,1.3,4.0,2.200000000000017,r4rk1/1p3ppp/3b1n2/1p1pN3/3P4/8/PPP2PPP/R1B1RK2 b - - 5 15,Game0816-6,0.43999999999999995,5,0
Rfe8,['f8e8'],b,235.7,481,1.81,5.0,6.299999999999983,r3r1k1/1p3ppp/3b1n2/1p1pN3/3P4/8/PPP2PPP/R1B1RK2 w - - 6 16,Game0816-6,0.51,2,0
Bg5,['c1g5'],w,282.0,518,0.98,-6.0,37.599999999999994,r3r1k1/1p3ppp/3b1n2/1p1pN1B1/3P4/8/PPP2PPP/R3RK2 b - - 7 16,Game0816-6,0.8300000000000001,0,-6
Bxe5,['d6e5'],b,268.1,551,2.71,-2.0,32.400000000000034,r3r1k1/1p3ppp/5n2/1p1pb1B1/3P4/8/PPP2PPP/R3RK2 w - - 0 17,Game0816-6,1.73,1,0
dxe5,['d4e5'],w,290.3,559,1.36,11.0,8.300000000000011,r3r1k1/1p3ppp/5n2/1p1pP1B1/8/8/PPP2PPP/R3RK2 b - - 0 17,Game0816-6,1.3499999999999999,4,0
Nd7,['f6d7'],b,271.0,562,2.92,-1.0,2.8999999999999773,r3r1k1/1p1n1ppp/8/1p1pP1B1/8/8/PPP2PPP/R3RK2 w - - 1 18,Game0816-6,1.5599999999999998,1,-2
Rad1,['a1d1'],w,302.8,574,2.93,3.0,12.5,r3r1k1/1p1n1ppp/8/1p1pP1B1/8/8/PPP2PPP/3RRK2 b - - 2 18,Game0816-6,0.010000000000000231,2,0
Nb6,['d7b6'],b,296.2,599,3.24,0.0,25.19999999999999,r3r1k1/1p3ppp/1n6/1p1pP1B1/8/8/PPP2PPP/3RRK2 w - - 3 19,Game0816-6,0.31000000000000005,3,0
a3,['a2a3'],w,313.4,610,3.58,-6.0,10.599999999999966,r3r1k1/1p3ppp/1n6/1p1pP1B1/8/P7/1PP2PPP/3RRK2 b - - 0 19,Game0816-6,0.33999999999999986,3,0
Rad8,['a8d8'],b,301.4,615,7.41,3.0,5.199999999999989,3rr1k1/1p3ppp/1n6/1p1pP1B1/8/P7/1PP2PPP/3RRK2 w - - 1 20,Game0816-6,3.83,0,-2
Bxd8,['g5d8'],w,325.7,628,7.55,-2.0,12.300000000000011,3Br1k1/1p3ppp/1n6/1p1pP3/8/P7/1PP2PPP/3RRK2 b - - 0 20,Game0816-6,0.13999999999999968,0,0
Rxd8,['e8d8'],b,306.0,632,7.63,11.0,4.600000000000023,3r2k1/1p3ppp/1n6/1p1pP3/8/P7/1PP2PPP/3RRK2 w - - 0 21,Game0816-6,0.08000000000000007,0,-4
e6,['e5e6'],w,343.7,650,6.35,5.0,18.0,3r2k1/1p3ppp/1n2P3/1p1p4/8/P7/1PP2PPP/3RRK2 b - - 0 21,Game0816-6,1.2800000000000002,0,-7
fxe6,['f7e6'],b,314.4,659,6.64,-1.0,8.399999999999977,3r2k1/1p4pp/1n2p3/1p1p4/8/P7/1PP2PPP/3RRK2 w - - 0 22,Game0816-6,0.29000000000000004,0,-6
Rxe6,['e1e6'],w,345.5,660,6.73,7.0,1.8000000000000114,3r2k1/1p4pp/1n2R3/1p1p4/8/P7/1PP2PPP/3R1K2 b - - 0 22,Game0816-6,0.09000000000000075,1,0
