Time,Eval,TimeUsed,Moves,Board
84,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
85,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
86,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
87,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
88,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
89,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
90,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
91,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
92,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
93,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
94,0.19,"(54.8, 38.3)",['f5e7'],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
95,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
96,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
97,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
98,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
99,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
100,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
101,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
102,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
103,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
104,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
105,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
106,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
107,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
108,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
109,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
