Move,TimeUsed,TotalTime,Eval
410,-1.51,"(249.2, 160.4)",['h4h5']
411,-1.51,"(249.2, 160.4)",[]
412,-1.51,"(249.2, 160.4)",[]
413,-1.51,"(249.2, 160.4)",[]
414,-1.51,"(249.2, 160.4)",[]
415,-1.51,"(249.2, 160.4)",[]
416,-1.51,"(249.2, 160.4)",[]
417,-1.51,"(249.2, 160.4)",[]
418,-1.51,"(249.2, 160.4)",[]
419,-1.51,"(249.2, 160.4)",[]
420,-1.51,"(249.2, 160.4)",[]
421,-1.51,"(249.2, 160.4)",[]
422,-1.51,"(249.2, 160.4)",[]
423,-1.51,"(249.2, 160.4)",[]
424,-1.51,"(249.2, 160.4)",[]
425,-1.51,"(249.2, 160.4)",[]
426,-1.51,"(249.2, 160.4)",[]
427,-1.51,"(249.2, 160.4)",[]
428,-1.51,"(249.2, 160.4)",[]
429,-1.51,"(249.2, 160.4)",[]
430,-1.51,"(249.2, 160.4)",[]
431,-1.51,"(249.2, 160.4)",[]
432,-1.51,"(249.2, 160.4)",[]
433,-1.51,"(249.2, 160.4)",[]
434,-1.51,"(249.2, 160.4)",[]
435,-1.51,"(249.2, 160.4)",[]
436,-1.51,"(249.2, 160.4)",[]
437,-1.51,"(249.2, 160.4)",[]
438,-4.53,"(277.5, 160.4)",['c3c4']
439,-4.53,"(277.5, 160.4)",[]
440,-4.53,"(277.5, 160.4)",[]
441,-4.53,"(277.5, 160.4)",[]
442,-4.53,"(277.5, 160.4)",[]
443,-3.76,"(277.5, 165.2)",['h5e5']
444,-3.76,"(277.5, 165.2)",[]
445,-3.76,"(277.5, 165.2)",[]
446,-3.76,"(277.5, 165.2)",[]
447,-3.76,"(277.5, 165.2)",[]
448,-3.76,"(277.5, 165.2)",[]
449,-3.76,"(277.5, 165.2)",[]
450,-3.76,"(277.5, 165.2)",[]
451,-3.76,"(277.5, 165.2)",[]
452,-3.76,"(277.5, 165.2)",[]
453,-3.76,"(277.5, 165.2)",[]
454,-3.76,"(277.5, 165.2)",[]
455,-3.76,"(277.5, 165.2)",[]
456,-3.76,"(277.5, 165.2)",[]
457,-3.76,"(277.5, 165.2)",[]
458,-3.76,"(277.5, 165.2)",[]
459,-3.76,"(277.5, 165.2)",[]
460,-3.76,"(277.5, 165.2)",[]
461,-3.76,"(277.5, 165.2)",[]
462,-3.76,"(277.5, 165.2)",[]
463,-3.76,"(277.5, 165.2)",[]
464,-3.76,"(277.5, 165.2)",[]
465,-3.76,"(277.5, 165.2)",[]
466,-3.76,"(277.5, 165.2)",[]
467,-3.76,"(277.5, 165.2)",[]
468,-3.76,"(277.5, 165.2)",[]
469,-3.76,"(277.5, 165.2)",[]
470,-3.76,"(277.5, 165.2)",[]
471,-3.76,"(277.5, 165.2)",[]
472,-3.76,"(277.5, 165.2)",[]
473,-3.76,"(277.5, 165.2)",[]
474,-3.76,"(277.5, 165.2)",[]
475,-3.76,"(277.5, 165.2)",[]
476,-3.76,"(277.5, 165.2)",[]
477,-3.76,"(277.5, 165.2)",[]
478,-3.76,"(277.5, 165.2)",[]
479,-3.76,"(277.5, 165.2)",[]
480,-3.76,"(277.5, 165.2)",[]
481,-3.76,"(277.5, 165.2)",[]
482,-3.76,"(277.5, 165.2)",[]
483,-3.76,"(277.5, 165.2)",[]
484,-3.76,"(277.5, 165.2)",[]
485,-3.76,"(277.5, 165.2)",[]
486,-3.76,"(277.5, 165.2)",[]
487,-3.76,"(277.5, 165.2)",[]
488,-3.76,"(277.5, 165.2)",[]
489,-3.76,"(277.5, 165.2)",[]
490,-3.76,"(277.5, 165.2)",[]
491,-3.76,"(277.5, 165.2)",[]
492,-3.76,"(277.5, 165.2)",[]
493,-3.76,"(277.5, 165.2)",[]
494,-3.76,"(277.5, 165.2)",[]
495,-3.76,"(277.5, 165.2)",[]
496,-3.76,"(277.5, 165.2)",[]
497,-3.76,"(277.5, 165.2)",[]
498,-3.76,"(277.5, 165.2)",[]
499,-3.76,"(277.5, 165.2)",[]
500,-3.76,"(277.5, 165.2)",[]
501,-3.76,"(277.5, 165.2)",[]
502,-3.76,"(277.5, 165.2)",[]
503,-3.76,"(277.5, 165.2)",[]
504,-3.76,"(277.5, 165.2)",[]
505,-3.76,"(277.5, 165.2)",[]
506,-3.76,"(277.5, 165.2)",[]
507,-3.76,"(277.5, 165.2)",[]
508,-3.76,"(277.5, 165.2)",[]
509,-3.76,"(277.5, 165.2)",[]
510,-3.76,"(277.5, 165.2)",[]
511,-3.76,"(277.5, 165.2)",[]
512,-3.76,"(277.5, 165.2)",[]
513,-3.76,"(277.5, 165.2)",[]
514,-3.76,"(277.5, 165.2)",[]
515,-3.76,"(277.5, 165.2)",[]
516,-3.76,"(277.5, 165.2)",[]
517,-3.76,"(277.5, 165.2)",[]
518,-3.76,"(277.5, 165.2)",[]
519,-3.76,"(277.5, 165.2)",[]
520,-3.76,"(277.5, 165.2)",[]
521,-3.76,"(277.5, 165.2)",[]
522,-3.76,"(277.5, 165.2)",[]
523,-3.76,"(277.5, 165.2)",[]
524,-3.76,"(277.5, 165.2)",[]
525,-3.76,"(277.5, 165.2)",[]
526,-3.76,"(277.5, 165.2)",[]
527,-3.76,"(277.5, 165.2)",[]
528,-3.76,"(277.5, 165.2)",[]
529,-3.76,"(277.5, 165.2)",[]
530,-3.76,"(277.5, 165.2)",[]
531,-3.76,"(277.5, 165.2)",[]
532,-3.76,"(277.5, 165.2)",[]
533,-3.76,"(277.5, 165.2)",[]
534,-3.76,"(277.5, 165.2)",[]
535,-3.76,"(277.5, 165.2)",[]
536,-3.76,"(277.5, 165.2)",[]
537,-3.76,"(277.5, 165.2)",[]
538,-3.76,"(277.5, 165.2)",[]
539,-3.76,"(277.5, 165.2)",[]
540,-3.76,"(277.5, 165.2)",[]
541,-3.76,"(277.5, 165.2)",[]
542,-3.76,"(277.5, 165.2)",[]
543,-3.76,"(277.5, 165.2)",[]
544,-3.76,"(277.5, 165.2)",[]
545,-3.76,"(277.5, 165.2)",[]
546,-3.76,"(277.5, 165.2)",[]
547,-3.76,"(277.5, 165.2)",[]
548,-3.76,"(277.5, 165.2)",[]
549,-3.76,"(277.5, 165.2)",[]
550,-3.76,"(277.5, 165.2)",[]
551,-3.76,"(277.5, 165.2)",[]
552,-3.76,"(277.5, 165.2)",[]
553,-3.76,"(277.5, 165.2)",[]
554,-3.76,"(277.5, 165.2)",[]
555,-3.76,"(277.5, 165.2)",[]
556,-3.76,"(277.5, 165.2)",[]
557,-3.76,"(277.5, 165.2)",[]
558,-3.76,"(277.5, 165.2)",[]
559,-3.76,"(277.5, 165.2)",[]
560,-3.76,"(277.5, 165.2)",[]
561,-3.76,"(277.5, 165.2)",[]
562,-3.76,"(277.5, 165.2)",[]
563,-3.76,"(277.5, 165.2)",[]
564,-3.76,"(277.5, 165.2)",[]
565,-3.76,"(277.5, 165.2)",[]
566,-3.76,"(277.5, 165.2)",[]
567,-3.76,"(277.5, 165.2)",[]
568,-3.76,"(277.5, 165.2)",[]
569,-3.76,"(277.5, 165.2)",[]
570,-5.4,"(404.8, 165.2)",['g2g3']
571,-5.4,"(404.8, 165.2)",[]
572,-5.4,"(404.8, 165.2)",[]
573,-5.4,"(404.8, 165.2)",[]
574,-5.4,"(404.8, 165.2)",[]
575,-5.4,"(404.8, 165.2)",[]
576,-5.4,"(404.8, 165.2)",[]
577,-5.4,"(404.8, 165.2)",[]
578,-5.4,"(404.8, 165.2)",[]
579,-5.4,"(404.8, 165.2)",[]
580,-5.4,"(404.8, 165.2)",[]
581,-5.4,"(404.8, 165.2)",[]
582,-5.4,"(404.8, 165.2)",[]
583,-5.4,"(404.8, 165.2)",[]
584,-5.4,"(404.8, 165.2)",[]
585,-5.4,"(404.8, 165.2)",[]
586,-5.4,"(404.8, 165.2)",[]
587,-5.4,"(404.8, 165.2)",[]
588,-5.4,"(404.8, 165.2)",[]
589,-5.4,"(404.8, 165.2)",[]
590,-5.4,"(404.8, 165.2)",[]
591,-5.4,"(404.8, 165.2)",[]
592,-5.4,"(404.8, 165.2)",[]
593,-5.4,"(404.8, 165.2)",[]
594,-5.4,"(404.8, 165.2)",[]
595,-5.4,"(404.8, 165.2)",[]
596,-5.4,"(404.8, 165.2)",[]
597,-5.4,"(404.8, 165.2)",[]
598,-5.4,"(404.8, 165.2)",[]
599,-5.4,"(404.8, 165.2)",[]
600,-5.4,"(404.8, 165.2)",[]
601,-5.4,"(404.8, 165.2)",[]
602,-5.4,"(404.8, 165.2)",[]
603,-5.4,"(404.8, 165.2)",[]
604,-5.4,"(404.8, 165.2)",[]
605,-5.4,"(404.8, 165.2)",[]
606,-5.4,"(404.8, 165.2)",[]
607,-5.4,"(404.8, 165.2)",[]
608,-5.4,"(404.8, 165.2)",[]
609,-5.4,"(404.8, 165.2)",[]
610,-5.4,"(404.8, 165.2)",[]
