Time,Eval,TimeUsed,Moves,Board
118,9.61,"(72.7, 45.0)",['d5b4'],r3kb1r/pppb1ppp/2n2n2/1B2p3/1N2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 9
119,9.61,"(72.7, 45.0)",[],r3kb1r/pppb1ppp/2n2n2/1B2p3/1N2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 9
120,9.61,"(72.7, 45.0)",[],r3kb1r/pppb1ppp/2n2n2/1B2p3/1N2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 9
121,9.61,"(72.7, 45.0)",[],r3kb1r/pppb1ppp/2n2n2/1B2p3/1N2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 9
122,9.54,"(72.7, 48.4)",['c6b4'],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
123,9.54,"(72.7, 48.4)",[],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
124,9.54,"(72.7, 48.4)",[],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
125,9.54,"(72.7, 48.4)",[],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
126,9.54,"(72.7, 48.4)",[],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
127,9.54,"(72.7, 48.4)",[],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
128,9.54,"(72.7, 48.4)",[],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
129,9.54,"(72.7, 48.4)",[],r3kb1r/pppb1ppp/5n2/1B2p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 10
130,9.42,"(81.4, 48.4)",['b5d7'],r3kb1r/pppB1ppp/5n2/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 10
131,9.42,"(81.4, 48.4)",[],r3kb1r/pppB1ppp/5n2/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 10
132,9.42,"(81.4, 48.4)",[],r3kb1r/pppB1ppp/5n2/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 10
133,9.42,"(81.4, 48.4)",[],r3kb1r/pppB1ppp/5n2/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 10
134,9.42,"(81.4, 48.4)",[],r3kb1r/pppB1ppp/5n2/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R b KQkq - 0 10
135,9.72,"(81.4, 52.8)",['f6d7'],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
136,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
137,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
138,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
139,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
140,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
141,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
142,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
143,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
144,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
145,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
146,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
147,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
148,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
149,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
150,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
151,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
152,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
153,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
154,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
155,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
156,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
157,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
158,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
159,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
160,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
161,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
162,9.72,"(81.4, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 0 11
163,9.41,"(109.3, 52.8)",['c2c3'],r3kb1r/pppn1ppp/8/4p3/1n2P3/2P1BN2/PP3PPP/R2QK2R b KQkq - 0 11
164,9.41,"(109.3, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/2P1BN2/PP3PPP/R2QK2R b KQkq - 0 11
165,9.41,"(109.3, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/2P1BN2/PP3PPP/R2QK2R b KQkq - 0 11
166,9.41,"(109.3, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/2P1BN2/PP3PPP/R2QK2R b KQkq - 0 11
167,9.41,"(109.3, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/2P1BN2/PP3PPP/R2QK2R b KQkq - 0 11
168,9.41,"(109.3, 52.8)",[],r3kb1r/pppn1ppp/8/4p3/1n2P3/2P1BN2/PP3PPP/R2QK2R b KQkq - 0 11
